key,text
boot.title,Just Coffee — WIP
district.threshold,The Threshold
district.artery,The Artery
district.corridor,The Corridor
district.square,The Square
district.cafe,The Café
cycle.label,Cycle %d
save.slot,Tomorrow.
pause.resume,Resume
pause.language,Language
pause.quit,Quit
outfit.discretion,Estimated Discretion: High
item.phone_screen_on.name,Screen on
item.phone_screen_on.description,Blocks gaze analysis — lose environmental data
item.phone_screen_on.cost,Lost visual context
item.headphones.name,Headphones
item.headphones.description,Muffles hostile audio
item.headphones.cost,Unpredictable gaze vectors
item.alternative_route.name,Alternative route
item.alternative_route.description,Narrative detour
item.alternative_route.cost,+8 min
item.fake_phone_call.name,Fake phone call
item.fake_phone_call.description,One-shot defuse
item.fake_phone_call.cost,Single use
item.eyes_down.name,Eyes down
item.eyes_down.description,Sustained posture
item.eyes_down.cost,Sustained saturation drain
item.keys_between_fingers.name,Keys between fingers
item.keys_between_fingers.description,Always in inventory
item.keys_between_fingers.cost,Narrative only
gaze_thomas_cycle_1,"His gaze sweeps the room. You are in the inventory."
gaze_kevin_cycle_1,"He hasn't looked at you yet. Or he has, and you missed the moment."
gaze_thomas_cycle_0,"Someone at the next table looks past you."
gaze_kevin_cycle_0,"A man nearby keeps his eyes on the cup, not the room."
gaze_blocked_by_phone,"The screen holds your eyes. The room goes unread."
